"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Islington 022D",99,49,9,45,17
"Islington 022E",17,6,0,18,195
"Islington 022F",75,28,1,31,77
"Islington 022G",28,13,1,12,133
"Islington 023A",68,4,0,13,151
"Islington 023B",54,19,2,17,76
"Islington 023C",47,12,0,20,135
"Kensington and Chelsea 001A",108,11,4,48,4
"Kensington and Chelsea 001B",47,2,2,5,261
"Kensington and Chelsea 001C",63,3,4,20,82
"Kensington and Chelsea 001D",117,10,2,31,29
"Kensington and Chelsea 001E",55,4,2,10,181
"Kensington and Chelsea 002A",38,1,0,9,310
"Kensington and Chelsea 002B",51,4,5,11,81
"Kensington and Chelsea 002C",66,7,1,28,47
"Kensington and Chelsea 002D",17,1,0,5,326
"Kensington and Chelsea 003A",19,3,0,42,179
"Kensington and Chelsea 003B",80,13,7,37,41
"Kensington and Chelsea 003C",69,9,13,29,21
"Kensington and Chelsea 003D",28,0,4,27,83
"Kensington and Chelsea 003E",46,3,3,33,64
"Kensington and Chelsea 004A",51,10,3,31,157
"Kensington and Chelsea 004B",78,2,1,6,229
"Kensington and Chelsea 004C",76,11,7,45,41
"Kensington and Chelsea 004D",70,5,2,32,45
"Kensington and Chelsea 004E",117,4,2,14,72
"Kensington and Chelsea 005A",20,1,2,17,203
"Kensington and Chelsea 005B",19,1,0,22,379
"Kensington and Chelsea 005C",84,5,1,18,92
"Kensington and Chelsea 005D",46,14,0,14,115
"Kensington and Chelsea 005E",33,2,0,9,252
"Kensington and Chelsea 006A",21,0,0,10,351
"Kensington and Chelsea 006B",66,12,7,31,41
"Kensington and Chelsea 006C",44,9,6,18,61
"Kensington and Chelsea 006D",70,3,0,22,277
"Kensington and Chelsea 006E",65,6,2,34,45
"Kensington and Chelsea 007A",59,9,0,18,155
"Kensington and Chelsea 007B",46,3,3,52,140
"Kensington and Chelsea 007C",43,3,2,30,84
"Kensington and Chelsea 007D",5,3,0,17,214
"Kensington and Chelsea 007E",8,1,1,6,301
"Kensington and Chelsea 008A",35,3,0,17,255
"Kensington and Chelsea 008B",56,7,0,43,159
"Kensington and Chelsea 008C",41,11,0,17,155
"Kensington and Chelsea 008D",82,10,0,37,7
"Kensington and Chelsea 008E",21,2,1,29,106
"Kensington and Chelsea 009A",10,1,3,15,223
"Kensington and Chelsea 009B",62,1,0,24,298
"Kensington and Chelsea 009C",63,5,2,38,45
"Kensington and Chelsea 009D",29,1,0,13,333
"Kensington and Chelsea 009E",32,5,1,25,176
"Kensington and Chelsea 010A",26,4,0,18,235
"Kensington and Chelsea 010B",86,14,1,52,98
"Kensington and Chelsea 010C",28,5,0,32,198
"Kensington and Chelsea 010D",47,4,0,20,256
"Kensington and Chelsea 010E",17,4,4,19,103
"Kensington and Chelsea 011A",33,1,1,34,85
"Kensington and Chelsea 011B",25,1,2,10,222
"Kensington and Chelsea 011C",26,2,1,16,206
"Kensington and Chelsea 011D",38,5,2,19,163
"Kensington and Chelsea 011E",8,9,0,33,177
"Kensington and Chelsea 012A",156,16,3,163,60
"Kensington and Chelsea 012B",111,8,2,57,120
"Kensington and Chelsea 012C",54,14,0,75,99
"Kensington and Chelsea 012D",63,6,0,49,159
"Kensington and Chelsea 012E",57,0,0,28,279
"Kensington and Chelsea 013A",55,1,0,16,295
"Kensington and Chelsea 013B",38,6,0,11,172
"Kensington and Chelsea 013C",59,4,0,16,151
"Kensington and Chelsea 013D",106,8,3,11,73
"Kensington and Chelsea 013E",19,3,0,36,199
"Kensington and Chelsea 014A",105,7,0,36,7
"Kensington and Chelsea 014B",31,4,1,22,166
"Kensington and Chelsea 014C",48,2,0,21,297
"Kensington and Chelsea 014D",11,4,0,17,214
"Kensington and Chelsea 014E",16,2,1,9,283
"Kensington and Chelsea 015A",47,4,4,39,64
"Kensington and Chelsea 015B",40,5,2,10,208
"Kensington and Chelsea 015C",54,5,0,14,152
"Kensington and Chelsea 015D",79,3,0,19,277
"Kensington and Chelsea 016A",75,1,1,15,129
"Kensington and Chelsea 016B",22,1,0,32,300
"Kensington and Chelsea 016C",84,2,2,52,25
"Kensington and Chelsea 016D",15,3,0,40,200
"Kensington and Chelsea 016E",19,2,0,20,378
"Kensington and Chelsea 017A",9,4,0,12,193
"Kensington and Chelsea 017B",34,5,1,10,208
"Kensington and Chelsea 017C",56,3,0,15,170
"Kensington and Chelsea 017D",30,2,0,14,253
"Kensington and Chelsea 017E",44,3,1,18,167
"Kensington and Chelsea 018A",32,6,0,21,196
"Kensington and Chelsea 018B",31,4,3,38,64
"Kensington and Chelsea 018C",50,0,2,33,65
"Kensington and Chelsea 018D",93,7,0,32,27
"Kensington and Chelsea 018E",68,10,0,49,119
"Kensington and Chelsea 019A",11,5,0,39,178
"Kensington and Chelsea 019B",23,7,0,27,197
"Kensington and Chelsea 019C",31,7,0,32,177
"Kensington and Chelsea 019D",37,9,1,92,100
"Kensington and Chelsea 019E",94,19,0,27,96
"Kensington and Chelsea 020A",23,5,0,26,216
"Kensington and Chelsea 020B",55,10,0,62,119
"Kensington and Chelsea 020C",5,1,1,62,140
"Kensington and Chelsea 020D",15,6,2,16,184
"Kensington and Chelsea 020E",54,28,0,53,78
"Kensington and Chelsea 021A",43,2,1,22,107
"Kensington and Chelsea 021B",52,2,0,84,100
"Kensington and Chelsea 021C",59,0,1,8,247
"Kensington and Chelsea 021D",37,0,2,28,105
"Kensington and Chelsea 021E",43,0,0,34,260
"Kingston upon Thames 001A",19,1,0,9,350
"Kingston upon Thames 001B",11,1,0,10,390
"Kingston upon Thames 001C",22,0,0,4,327
"Kingston upon Thames 001D",41,1,1,9,247
"Kingston upon Thames 001E",35,1,0,9,310
"Kingston upon Thames 002A",15,1,0,12,371
"Kingston upon Thames 002B",20,0,0,21,400
"Kingston upon Thames 002C",22,0,0,16,355
"Kingston upon Thames 002D",18,1,1,5,302
"Kingston upon Thames 002E",9,0,0,8,368
"Kingston upon Thames 003A",37,6,0,4,323
"Kingston upon Thames 003B",21,3,0,16,235
"Kingston upon Thames 003C",17,0,1,6,301
"Kingston upon Thames 003D",33,6,0,11,172
"Kingston upon Thames 003E",43,0,0,4,269
"Kingston upon Thames 004A",35,4,0,12,274
"Kingston upon Thames 004B",10,6,0,4,323
"Kingston upon Thames 004D",21,2,0,6,324
"Kingston upon Thames 004E",40,6,0,13,152
"Kingston upon Thames 004F",76,4,0,5,230
"Kingston upon Thames 004G",35,9,2,20,156
"Kingston upon Thames 005A",77,15,5,12,74
"Kingston upon Thames 005B",140,2,0,8,91
"Kingston upon Thames 005C",33,4,1,5,303
"Kingston upon Thames 005D",215,5,1,5,11
"Kingston upon Thames 005E",44,3,0,10,191
"Kingston upon Thames 006A",66,1,0,5,249
"Kingston upon Thames 006B",25,1,0,15,334
"Kingston upon Thames 006C",13,0,0,8,368
"Kingston upon Thames 006D",118,2,4,15,52
"Kingston upon Thames 006E",14,1,0,2,344
"Kingston upon Thames 007A",19,2,0,9,232
"Kingston upon Thames 007B",102,9,1,27,28
"Kingston upon Thames 007C",55,1,0,50,160
"Kingston upon Thames 007D",34,4,0,3,323
"Kingston upon Thames 007E",17,2,0,14,234
"Kingston upon Thames 008A",18,2,0,6,324
"Kingston upon Thames 008B",34,3,1,16,168
"Kingston upon Thames 008C",17,0,0,9,350
"Kingston upon Thames 008D",18,0,0,2,364
"Kingston upon Thames 008E",19,1,0,7,329
"Kingston upon Thames 009A",68,17,3,14,74
"Kingston upon Thames 009B",65,4,0,16,151
"Kingston upon Thames 009C",462,80,16,47,19
"Kingston upon Thames 009D",26,0,0,3,307
"Kingston upon Thames 009E",26,0,0,4,327
"Kingston upon Thames 010A",9,0,0,6,366
"Kingston upon Thames 010B",26,1,0,4,326
"Kingston upon Thames 010C",38,3,1,10,228
"Kingston upon Thames 011A",27,2,0,9,232
"Kingston upon Thames 011B",244,18,1,8,12
"Kingston upon Thames 011C",35,3,0,11,252
"Kingston upon Thames 011D",35,2,0,7,211
"Kingston upon Thames 012A",29,0,0,5,308
"Kingston upon Thames 012B",18,0,1,3,321
"Kingston upon Thames 012C",11,0,0,5,365
"Kingston upon Thames 012D",25,0,0,4,327
"Kingston upon Thames 012E",15,2,0,8,232
"Kingston upon Thames 013A",70,2,0,8,230
"Kingston upon Thames 013B",42,3,0,5,210
"Kingston upon Thames 013C",13,4,0,5,323
"Kingston upon Thames 013D",14,0,0,6,347
"Kingston upon Thames 013E",26,0,0,2,307
"Kingston upon Thames 014A",6,0,0,4,385
"Kingston upon Thames 014B",10,0,0,5,386
"Kingston upon Thames 014C",7,0,0,11,391
"Kingston upon Thames 014D",9,0,0,5,386
"Kingston upon Thames 014E",6,1,0,5,346
"Kingston upon Thames 015A",9,0,0,11,391
"Kingston upon Thames 015B",31,3,0,9,211
"Kingston upon Thames 015C",5,0,0,6,387
"Kingston upon Thames 015D",6,0,0,2,363
"Kingston upon Thames 015E",27,2,0,5,324
"Kingston upon Thames 016A",12,1,0,4,345
"Kingston upon Thames 016B",20,1,0,7,329
"Kingston upon Thames 016C",10,0,0,7,367
"Kingston upon Thames 016D",42,0,0,5,289
"Kingston upon Thames 016E",48,2,1,6,248
"Kingston upon Thames 017A",14,0,0,1,364
"Kingston upon Thames 017B",38,6,0,16,152
"Kingston upon Thames 017C",51,2,2,8,221
"Kingston upon Thames 017D",121,5,0,8,91
"Kingston upon Thames 017E",13,4,0,4,323
"Kingston upon Thames 018A",29,0,0,10,311
"Kingston upon Thames 018B",23,0,0,7,328
"Kingston upon Thames 018C",30,2,0,4,288
"Kingston upon Thames 018D",42,1,0,8,290
"Kingston upon Thames 018E",11,2,0,5,325
"Kingston upon Thames 019A",29,0,0,11,312
"Kingston upon Thames 019B",17,1,0,11,371
"Kingston upon Thames 019C",15,0,0,9,369
"Kingston upon Thames 019D",15,0,0,2,364
"Kingston upon Thames 020A",18,0,1,4,321
"Kingston upon Thames 020B",30,0,1,2,286
"Kingston upon Thames 020C",71,2,0,31,259
"Kingston upon Thames 020D",33,1,0,5,308
"Kingston upon Thames 020E",56,0,2,15,182
"Lambeth 002A",18,3,1,12,207
"Lambeth 002B",74,12,2,24,94
"Lambeth 002C",38,12,0,20,135
"Lambeth 002D",29,2,0,9,252
"Lambeth 002E",35,3,1,13,207
"Lambeth 003A",19,4,0,16,214
"Lambeth 003B",70,3,5,15,81
"Lambeth 003C",15,6,2,9,263
"Lambeth 003D",48,8,2,19,163
"Lambeth 003E",154,14,9,39,22
"Lambeth 004A",151,39,6,26,16
"Lambeth 004C",78,4,0,22,257
"Lambeth 004D",41,10,2,16,93
"Lambeth 004E",65,11,1,28,136
"Lambeth 004F",88,10,0,43,7
"Lambeth 004G",54,12,1,3,133
"Lambeth 005A",32,3,0,14,274
"Lambeth 005B",133,25,9,19,21
"Lambeth 005C",46,5,2,22,163
"Lambeth 005D",43,3,1,25,107
"Lambeth 005E",84,16,1,19,95
"Lambeth 006A",59,4,0,22,256
"Lambeth 006B",30,0,1,12,245
"Lambeth 006C",32,5,1,17,187
"Lambeth 006D",7,7,0,15,194
"Lambeth 006E",51,5,1,9,209
"Lambeth 007A",27,5,4,17,103
"Lambeth 007B",124,3,0,9,91
"Lambeth 007C",39,9,3,17,122
"Lambeth 007D",109,19,4,21,54
"Lambeth 007E",65,4,1,9,209
"Lambeth 008A",142,7,1,27,9
"Lambeth 008B",25,1,2,8,241
"Lambeth 008C",59,2,1,14,150
"Lambeth 008D",114,4,3,14,72
"Lambeth 008E",62,4,3,6,141
"Lambeth 009A",32,2,5,10,101
"Lambeth 009B",61,6,4,22,82
"Lambeth 009C",59,0,0,13,271
"Lambeth 009D",62,3,0,45,160
"Lambeth 009E",25,1,0,15,334
"Lambeth 010A",46,10,2,13,93
"Lambeth 010B",80,6,7,18,62
"Lambeth 010C",16,8,4,8,101
"Lambeth 010D",73,5,3,28,43
"Lambeth 010E",82,11,2,32,137
"Lambeth 011A",35,3,13,17,21
"Lambeth 011B",386,49,9,29,39
"Lambeth 011C",65,1,3,16,142
"Lambeth 011D",46,4,5,7,81
"Lambeth 011E",26,3,1,4,282
"Lambeth 011F",59,14,1,14,114
"Lambeth 012A",49,7,1,29,176
"Lambeth 012B",66,15,6,16,41
"Lambeth 012C",32,4,1,18,187
"Lambeth 012D",55,16,4,22,74
"Lambeth 012E",38,6,2,16,183
"Lambeth 013A",94,3,2,14,72
"Lambeth 013B",12,7,0,24,196
"Lambeth 013C",60,21,1,44,97
"Lambeth 013D",43,8,0,20,155
"Lambeth 013E",40,5,0,21,236
"Lambeth 014A",32,2,0,17,235
"Lambeth 014B",48,4,1,14,189
"Lambeth 014C",119,17,2,37,97
"Lambeth 014D",24,4,3,21,103
"Lambeth 014E",39,6,1,10,208
"Lambeth 015A",57,1,1,21,108
"Lambeth 015B",50,14,0,17,115
"Lambeth 015C",70,8,0,9,132
"Lambeth 015D",42,5,1,20,167
"Lambeth 015E",150,5,4,29,3
"Lambeth 016A",55,1,4,11,102
"Lambeth 016B",105,14,4,14,74
"Lambeth 016C",61,7,6,19,61
"Lambeth 016D",125,24,11,23,21
"Lambeth 016E",95,7,4,17,73
"Lambeth 017A",23,1,0,22,379
"Lambeth 017B",58,6,6,6,81
"Lambeth 017C",104,14,1,6,113
"Lambeth 017D",88,1,0,14,110
"Lambeth 018A",40,6,1,26,176
"Lambeth 018B",0,0,0,3,384
"Lambeth 018C",154,9,14,22,21
"Lambeth 018D",37,4,0,20,236
"Lambeth 018E",110,26,5,17,36
"Lambeth 019A",24,4,0,47,179
"Lambeth 019B",9,0,0,30,300
"Lambeth 019C",37,4,0,13,274
"Lambeth 019D",86,16,2,28,75
"Lambeth 019E",21,2,0,8,232
"Lambeth 020A",65,10,2,36,137
"Lambeth 020B",62,4,2,23,144
"Lambeth 020C",61,1,2,18,182
"Lambeth 020D",84,6,1,13,92
"Lambeth 020E",77,3,2,16,162
"Lambeth 021A",34,3,1,17,168
"Lambeth 021B",43,4,0,17,255
"Lambeth 021C",64,1,1,25,87
"Lambeth 021D",140,2,0,20,90
"Lambeth 021E",45,1,3,16,123
"Lambeth 022A",41,1,1,10,246
"Lambeth 022B",71,3,2,7,181
"Lambeth 022C",38,0,1,11,246
"Lambeth 022D",26,2,0,6,211
"Lambeth 022E",35,4,2,8,221
"Lambeth 023A",7,0,0,11,391
"Lambeth 023B",10,2,1,17,204
"Lambeth 023C",24,2,1,27,106
"Lambeth 023D",22,1,0,16,374
"Lambeth 023E",46,11,1,20,156
"Lambeth 023F",50,2,1,28,86
"Lambeth 024A",59,1,0,9,250
"Lambeth 024B",79,4,1,16,109
"Lambeth 024C",32,2,2,11,221
"Lambeth 024D",35,1,1,18,148
"Lambeth 025A",33,4,1,27,106
"Lambeth 025B",9,0,0,20,400
"Lambeth 025C",88,2,1,12,129
"Lambeth 025D",47,12,1,26,136
"Lambeth 025E",27,1,1,42,180
"Lambeth 026A",42,7,0,28,217
"Lambeth 026B",71,3,3,38,44
"Lambeth 026C",29,1,0,21,358
"Lambeth 026D",33,1,0,25,319
"Lambeth 026E",168,1,3,19,52
"Lambeth 027A",77,1,4,22,82
"Lambeth 027B",33,0,0,27,299
"Lambeth 027C",38,4,1,22,167
"Lambeth 027D",45,3,3,12,121
"Lambeth 027E",83,7,0,23,257
"Lambeth 028A",43,2,0,26,299
"Lambeth 028B",58,0,7,17,61
"Lambeth 028C",42,3,2,46,180
"Lambeth 028D",40,4,1,29,106
"Lambeth 028E",21,4,1,45,179
"Lambeth 029A",24,0,0,21,338
"Lambeth 029B",39,3,0,32,280
"Lambeth 029C",90,0,0,20,110
"Lambeth 029D",39,5,1,13,188
"Lambeth 029E",39,5,0,17,255
"Lambeth 030A",7,0,0,26,340
"Lambeth 030B",60,0,0,34,260
"Lambeth 030C",34,1,1,57,140
"Lambeth 030D",25,0,0,19,376
"Lambeth 030E",89,2,1,46,26
"Lambeth 031A",49,1,0,12,271
"Lambeth 031B",38,0,0,22,318
"Lambeth 031C",34,1,1,23,126
"Lambeth 031D",24,3,1,17,187
"Lambeth 031E",79,0,4,12,141
"Lambeth 032A",91,3,0,19,111
"Lambeth 032B",67,13,1,30,136
"Lambeth 032C",188,5,3,26,33
"Lambeth 032D",85,12,2,31,137
"Lambeth 032E",15,0,0,30,300
"Lambeth 032F",41,0,0,10,291
"Lambeth 033A",99,0,0,20,110
"Lambeth 033B",52,2,1,15,169
"Lambeth 033C",21,1,0,15,374
"Lambeth 033D",42,0,2,10,221
"Lambeth 033E",32,2,0,14,253
"Lambeth 034A",41,2,0,11,251
"Lambeth 034B",37,1,1,17,148
"Lambeth 034C",109,3,0,30,27
"Lambeth 034D",53,0,0,37,240
"Lambeth 034E",39,2,1,15,168
"Lambeth 035A",46,1,1,20,127
"Lambeth 035B",25,1,0,12,353
"Lambeth 035C",11,0,0,17,396
"Lambeth 035D",23,1,0,11,331
"Lambeth 035E",30,0,1,17,205
"Lambeth 036A",199,45,4,32,37
"Lambeth 036B",105,10,2,22,29
"Lambeth 036C",57,55,2,35,38
"Lambeth 036D",102,28,1,29,77
"Lambeth 036E",181,33,3,34,58
"Lewisham 001A",31,2,0,4,288
"Lewisham 001B",44,0,0,19,317
"Lewisham 001C",34,1,2,34,84
"Lewisham 001D",47,4,0,11,171
"Lewisham 001E",67,11,0,17,135
"Lewisham 002A",39,0,0,22,318
"Lewisham 002B",39,3,1,23,107
"Lewisham 002C",29,1,2,12,222
"Lewisham 002D",38,1,0,8,290
"Lewisham 002E",46,2,2,28,84
"Lewisham 003A",48,7,2,32,157
"Lewisham 003B",107,3,4,20,52
"Lewisham 003C",33,2,2,18,164
"Lewisham 003D",48,2,0,18,276
"Lewisham 003E",37,0,1,21,126
"Lewisham 005A",60,3,4,25,63
"Lewisham 005B",24,3,0,15,254
"Lewisham 005C",67,2,1,20,108
"Lewisham 005D",42,0,1,13,226
"Lewisham 005E",80,10,3,16,73
"Lewisham 006A",58,4,2,31,45
"Lewisham 006B",93,7,2,19,72
"Lewisham 006C",94,1,1,22,89
"Lewisham 006D",28,3,0,11,252
"Lewisham 006E",22,1,0,14,354
"Lewisham 007A",26,5,8,12,61
"Lewisham 007B",50,4,1,9,228
"Lewisham 007C",15,1,0,6,346
"Lewisham 007D",16,1,0,3,344
"Lewisham 007E",9,1,1,8,284
"Lewisham 008B",61,3,0,25,258
"Lewisham 008C",60,3,1,35,66
"Lewisham 008D",78,7,1,13,92
"Lewisham 008E",41,5,0,17,255
"Lewisham 008F",13,1,1,5,302
"Lewisham 009A",28,5,0,9,192
"Lewisham 009B",52,5,0,43,159
"Lewisham 009C",7,1,1,11,264
"Lewisham 009D",22,1,1,10,265
"Lewisham 010A",33,0,2,3,261
"Lewisham 010B",40,1,3,7,121
"Lewisham 010C",20,1,0,4,326
"Lewisham 010D",38,2,0,13,273
"Lewisham 010E",17,0,0,12,372
"Lewisham 011A",21,1,0,8,329
"Lewisham 011B",21,0,0,13,372
"Lewisham 011C",42,7,2,12,208
"Lewisham 011D",14,1,0,12,371
"Lewisham 012A",67,1,0,11,250
"Lewisham 012C",99,1,2,24,69
"Lewisham 012D",30,7,5,14,81
"Lewisham 012E",341,29,7,20,14
"Lewisham 012F",91,20,5,32,54
"Lewisham 012G",25,2,0,11,252
"Lewisham 013A",38,2,1,13,227
"Lewisham 013B",42,3,1,35,85
"Lewisham 013C",87,6,1,31,46
"Lewisham 013D",26,3,3,28,104
"Lewisham 014A",52,1,1,15,149
"Lewisham 014B",55,3,0,12,170
"Lewisham 014C",22,1,1,11,265
"Lewisham 014D",50,3,1,22,107
"Lewisham 015A",13,1,0,26,340
"Lewisham 015B",47,2,2,13,201
"Lewisham 015C",38,1,1,6,267
"Lewisham 015D",18,0,1,5,301
"Lewisham 016A",25,1,1,4,302
"Lewisham 016B",22,0,0,14,354
"Lewisham 016C",27,4,0,20,236
"Lewisham 016D",11,1,0,21,399
"Lewisham 017A",23,0,0,20,376
"Lewisham 017B",48,6,1,24,156
"Lewisham 017D",10,0,2,14,243
"Lewisham 017E",17,0,1,14,225
"Lewisham 017F",32,1,2,11,222
"Lewisham 018A",44,3,4,7,101
"Lewisham 018B",56,1,1,23,87
"Lewisham 018C",49,1,0,11,271
"Lewisham 018D",26,1,1,9,266
"Lewisham 019A",14,3,0,2,323
"Lewisham 019B",26,1,0,13,333
"Lewisham 019C",22,1,1,18,185
"Lewisham 019D",52,0,0,16,316
"Lewisham 019E",20,0,1,13,225
"Lewisham 020A",89,3,3,26,49
"Lewisham 020B",204,11,10,25,22
"Lewisham 020C",44,0,2,22,145
"Lewisham 020D",7,0,0,13,393
"Lewisham 020E",46,6,7,23,61
"Lewisham 021A",38,0,0,13,314
"Lewisham 021B",48,7,2,23,163
"Lewisham 021C",7,2,0,16,234
"Lewisham 021D",28,1,2,4,262
"Lewisham 021E",16,0,0,6,347
"Lewisham 022A",28,0,0,11,312
"Lewisham 022B",15,0,0,3,364
"Lewisham 022C",23,0,0,9,330
"Lewisham 022D",39,1,0,11,272
"Lewisham 022E",40,0,2,9,241
"Lewisham 023A",44,3,1,20,167
"Lewisham 023B",26,1,0,19,357
"Lewisham 023C",28,2,0,12,252
"Lewisham 023D",9,0,0,5,386
"Lewisham 023E",9,1,0,12,392
"Lewisham 024A",11,4,2,12,263
"Lewisham 024B",13,1,0,10,371
"Lewisham 024C",17,4,1,13,207
"Lewisham 024D",16,1,3,15,223
"Lewisham 024E",11,0,0,17,396
"Lewisham 025A",36,0,1,14,226
"Lewisham 025B",25,1,0,13,333
"Lewisham 025C",59,1,3,25,144
"Lewisham 025D",31,0,2,14,222
"Lewisham 026A",32,3,2,10,221
"Lewisham 026B",30,0,1,8,266
"Lewisham 026C",34,0,1,7,267
"Lewisham 026D",19,1,1,23,146
"Lewisham 027A",58,0,0,14,295
"Lewisham 027B",40,1,2,9,221
"Lewisham 027C",30,1,1,16,206
"Lewisham 027D",7,1,1,15,204
"Lewisham 027E",37,3,3,22,103
"Lewisham 028A",50,1,2,12,201
"Lewisham 028B",13,0,1,4,321
"Lewisham 028C",36,0,0,6,289
"Lewisham 028D",66,4,3,16,142
"Lewisham 029A",135,3,7,38,23
"Lewisham 029B",82,0,2,18,69
"Lewisham 029C",26,0,1,22,126
"Lewisham 029D",60,2,1,13,150
"Lewisham 029E",37,3,2,12,202
"Lewisham 030A",41,1,4,7,101
"Lewisham 030B",28,0,1,16,205
"Lewisham 030C",22,0,0,5,327
"Lewisham 030D",66,2,5,12,81
"Lewisham 030E",14,1,1,18,185
"Lewisham 031A",45,1,0,16,315
"Lewisham 031B",29,1,0,10,331
"Lewisham 031C",20,0,0,14,354
"Lewisham 031D",25,0,1,6,285
"Lewisham 033A",31,1,1,22,126
"Lewisham 033B",24,1,1,11,245
"Lewisham 033C",30,0,0,11,312
"Lewisham 033D",28,1,1,25,125
"Lewisham 033E",40,2,4,25,83
"Lewisham 034A",40,1,1,20,147
"Lewisham 034B",41,1,3,31,64
"Lewisham 034C",31,0,2,10,222
"Lewisham 034D",29,0,0,12,312
"Lewisham 035A",28,2,0,20,358
"Lewisham 035B",63,0,2,19,182
"Lewisham 035C",28,0,0,14,333
"Lewisham 035D",21,0,0,5,327
"Lewisham 035E",18,0,2,13,243
"Lewisham 037A",32,1,0,14,334
"Lewisham 037B",56,5,1,12,189
"Lewisham 037C",23,0,1,12,245
"Lewisham 037D",14,3,2,13,263
"Lewisham 037E",33,1,0,6,309
"Lewisham 038A",49,1,0,12,271
"Lewisham 038B",9,0,4,7,101
"Lewisham 038C",30,0,1,25,125
"Lewisham 038D",51,3,1,23,107
"Lewisham 038E",28,2,1,11,227
"Lewisham 039A",37,1,0,8,310
"Lewisham 039B",22,1,2,5,262
"Lewisham 039C",51,12,1,27,136
"Lewisham 039D",186,8,4,45,3
"Lewisham 039E",61,5,4,22,82
"Merton 001A",1,0,0,6,387
"Merton 001B",11,1,0,25,340
"Merton 001C",11,3,1,13,264
"Merton 001D",74,9,0,76,99
"Merton 001E",25,3,1,35,85
"Merton 002A",28,3,0,32,199
"Merton 002B",16,0,0,12,372
"Merton 002D",14,2,0,30,300
"Merton 003A",14,1,0,19,397
"Merton 003B",9,1,0,7,367
"Merton 003C",203,26,4,14,15
"Merton 003E",9,4,0,14,213
"Merton 004A",24,5,2,16,184
"Merton 004B",40,11,0,13,154
"Merton 004C",19,3,0,5,324
"Merton 004D",12,2,0,6,325
"Merton 004E",35,7,1,39,158
"Merton 005A",69,24,2,46,97
"Merton 005B",18,6,0,17,195
"Merton 005C",70,7,0,26,238
"Merton 005D",31,2,0,10,252
"Merton 005E",37,3,0,15,275
"Merton 006A",37,3,1,17,168
"Merton 006B",51,5,1,19,167
"Merton 006C",39,3,0,19,255
"Merton 006D",10,11,0,14,154
"Merton 006E",28,4,0,20,236
"Merton 007A",25,0,1,17,205
"Merton 007B",52,0,2,13,201
"Merton 007C",6,2,0,9,389
"Merton 007D",14,1,0,9,350
"Merton 007E",40,2,2,16,202
"Merton 008A",17,1,0,15,374
"Merton 008B",67,3,2,17,162
"Merton 008C",29,8,0,11,173
"Merton 008D",9,2,0,13,234
"Merton 008E",39,6,0,21,236
"Merton 009A",29,4,0,3,323
"Merton 009B",52,3,0,16,276
"Merton 009C",39,2,0,12,273
"Merton 009D",64,21,1,6,76
"Merton 009E",4,2,0,1,343
"Merton 010A",15,1,0,5,346
"Merton 010B",19,3,0,9,212
"Merton 010C",19,0,0,17,375
"Merton 010D",27,2,0,6,211
"Merton 010E",11,3,0,16,214
"Merton 011A",14,0,0,4,365
"Merton 011B",7,3,1,10,283
"Merton 011C",13,1,0,12,371
"Merton 011D",10,0,0,9,369
"Merton 011E",21,6,1,7,303
"Merton 012A",34,4,4,12,102
"Merton 012B",47,1,0,10,271
"Merton 012C",23,3,2,5,262
"Merton 012D",30,0,0,23,338
"Merton 012E",17,1,0,10,371
"Merton 013A",35,8,0,22,175
"Merton 013B",45,5,2,20,163
"Merton 013C",54,0,2,14,182
"Merton 013D",25,0,1,19,165
"Merton 013E",25,1,1,14,206
"Merton 014A",24,3,0,12,233
"Merton 014B",41,0,2,15,202
"Merton 014C",45,1,0,8,290
"Merton 014D",63,2,0,20,277
"Merton 014E",50,2,1,14,169
"Merton 015A",19,1,0,8,329
"Merton 015B",16,2,0,11,233
"Merton 015C",19,1,0,8,329
"Merton 015D",59,0,0,7,270
"Merton 015E",13,2,0,6,325
"Merton 016A",21,0,0,11,352
"Merton 016C",15,11,1,17,154
"Merton 016D",20,2,1,13,206
"Merton 016E",14,2,0,25,360
"Merton 017A",27,2,2,20,164
"Merton 017B",33,1,0,19,357
"Merton 017C",24,0,1,26,125
"Merton 017D",26,2,0,10,252
"Merton 017E",8,0,1,22,146
"Merton 018A",34,1,1,7,267
"Merton 018B",47,3,0,19,276
"Merton 018C",78,8,3,20,73
"Merton 018D",66,7,0,10,132
"Merton 018E",54,2,2,17,182
"Merton 019A",32,0,0,11,312
"Merton 019B",56,3,1,5,248
"Merton 019C",45,2,3,10,121
"Merton 019D",27,0,0,5,308
"Merton 019E",17,1,3,11,223
"Merton 020A",11,0,0,6,366
"Merton 020B",28,1,0,10,331
"Merton 020C",14,1,0,7,348
"Merton 020D",28,1,0,27,320
"Merton 020E",38,5,0,19,255
"Merton 021A",23,0,0,11,352
"Merton 021B",21,1,0,12,353
"Merton 021C",9,1,0,10,390
"Merton 021D",13,0,0,9,369
"Merton 021E",19,0,0,12,352
"Merton 022A",87,6,0,8,132
"Merton 022B",56,2,4,30,63
"Merton 022C",17,0,3,22,104
"Merton 022D",37,2,0,18,337
"Merton 022E",39,6,0,11,172
"Merton 023A",109,11,1,19,113
"Merton 023B",27,1,0,14,333
"Merton 023C",43,4,0,17,255
"Merton 023D",42,2,2,14,202
